ID,Companion#group
725466,Friends
726862,Friends
727015,Friends
727219,Friends
727611,Friends
727650,Friends
727990,Friends
728002,Friends
728113,Friends
728177,Friends
729081,Friends
729112,Friends
729674,Friends
729954,Friends
730271,Friends
730433,Friends
730445,Friends
730448,Friends
730472,Friends
730624,Friends
730957,Friends
730965,Friends
731084,Friends
731148,Friends
731268,Friends
731273,Friends
731481,Friends
731526,Friends
731740,Friends
731807,Friends
731843,Friends
731932,Friends
732361,Friends
732434,Friends
732669,Friends
732706,Friends
732719,Friends
732732,Friends
732958,Friends
733574,Friends
733720,Friends
733736,Friends
733740,Friends
733939,Friends
733952,Friends
733977,Friends
733985,Friends
733988,Friends
734152,Friends
734169,Friends
734255,Friends
734310,Friends
734438,Friends
734563,Friends
734740,Friends
734754,Friends
735043,Friends
735059,Friends
735066,Friends
735957,Friends
736421,Friends
736467,Friends
736777,Friends
736894,Friends
737074,Friends
737382,Friends
737467,Friends
737514,Friends
737543,Friends
737758,Friends
738244,Friends
738307,Friends
738426,Friends
738435,Friends
738653,Friends
738678,Friends
738694,Friends
738942,Friends
738997,Friends
739061,Friends
739475,Friends
739684,Friends
739792,Friends
739972,Friends
740084,Friends
740497,Friends
740785,Friends
741281,Friends
741655,Friends
741729,Friends
742309,Friends
742385,Friends
742701,Friends
743123,Friends
743156,Friends
743236,Friends
743338,Friends
744018,Friends
744362,Friends
744379,Friends
744783,Friends
746310,Friends
746410,Friends
746594,Friends
746896,Friends
746969,Friends
746996,Friends
747134,Friends
747241,Friends
747293,Friends
747383,Friends
747544,Friends
747553,Friends
747578,Friends
747694,Friends
747835,Friends
747860,Friends
748086,Friends
748184,Friends
748185,Friends
748265,Friends
748393,Friends
748554,Friends
748748,Friends
748807,Friends
748883,Friends
748944,Friends
749176,Friends
749457,Friends
749837,Friends
749897,Friends
749904,Friends
749977,Friends
750058,Friends
750065,Friends
750621,Friends
751840,Friends
752760,Friends
754334,Friends
757809,Friends
757813,Friends
758332,Friends
758618,Friends
758734,Friends
758753,Friends
758905,Friends
759238,Friends
759284,Friends
759443,Friends
759494,Friends
760150,Friends
763355,Friends
763762,Friends
764154,Friends
764281,Friends
764370,Friends
764623,Friends
764654,Friends
764663,Friends
764703,Friends
764882,Friends
765342,Friends
765501,Friends
765509,Friends
765811,Friends
765990,Friends
766003,Friends
766496,Friends
767694,Friends
767878,Friends
768332,Friends
768521,Friends
768538,Friends
769065,Friends
769207,Friends
769410,Friends
769476,Friends
769484,Friends
769866,Friends
770076,Friends
770510,Friends
770588,Friends
770949,Friends
777021,Friends
777116,Friends
777687,Friends
777899,Friends
777967,Friends
778086,Friends
778115,Friends
778119,Friends
778557,Friends
778745,Friends
779000,Friends
779002,Friends
