ID,Dayofweek,Visit#Dayofweek,Weekday#end
344625,Monday,4.0,Weekdays
345343,Monday,4.0,Weekdays
346249,Monday,4.0,Weekdays
346725,Monday,4.0,Weekdays
346833,Monday,4.0,Weekdays
346925,Monday,4.0,Weekdays
347591,Monday,4.0,Weekdays
347593,Monday,4.0,Weekdays
347594,Monday,4.0,Weekdays
348220,Monday,4.0,Weekdays
348221,Monday,4.0,Weekdays
348222,Monday,4.0,Weekdays
348306,Monday,4.0,Weekdays
348307,Monday,4.0,Weekdays
348309,Monday,4.0,Weekdays
348312,Monday,4.0,Weekdays
348321,Monday,4.0,Weekdays
348327,Monday,4.0,Weekdays
357024,Monday,4.0,Weekdays
357580,Monday,4.0,Weekdays
358030,Monday,4.0,Weekdays
358031,Monday,4.0,Weekdays
358095,Monday,4.0,Weekdays
358230,Monday,4.0,Weekdays
358404,Monday,4.0,Weekdays
358808,Monday,4.0,Weekdays
358809,Monday,4.0,Weekdays
358930,Monday,4.0,Weekdays
358960,Monday,4.0,Weekdays
358962,Monday,4.0,Weekdays
358963,Monday,4.0,Weekdays
359041,Monday,4.0,Weekdays
359144,Monday,4.0,Weekdays
359149,Monday,4.0,Weekdays
359150,Monday,4.0,Weekdays
359151,Monday,4.0,Weekdays
359183,Monday,4.0,Weekdays
359383,Monday,4.0,Weekdays
359563,Monday,4.0,Weekdays
359564,Monday,4.0,Weekdays
359566,Monday,4.0,Weekdays
360106,Monday,4.0,Weekdays
360355,Monday,4.0,Weekdays
360588,Monday,4.0,Weekdays
360730,Monday,4.0,Weekdays
360732,Monday,4.0,Weekdays
360734,Monday,4.0,Weekdays
360737,Monday,4.0,Weekdays
361006,Monday,4.0,Weekdays
361518,Monday,4.0,Weekdays
361519,Monday,4.0,Weekdays
361791,Monday,4.0,Weekdays
361793,Monday,4.0,Weekdays
361794,Monday,4.0,Weekdays
362007,Monday,4.0,Weekdays
362008,Monday,4.0,Weekdays
362270,Monday,4.0,Weekdays
362512,Monday,4.0,Weekdays
362667,Monday,4.0,Weekdays
362711,Monday,4.0,Weekdays
363279,Monday,4.0,Weekdays
363406,Monday,4.0,Weekdays
363785,Monday,4.0,Weekdays
365304,Monday,4.0,Weekdays
365525,Monday,4.0,Weekdays
365734,Monday,4.0,Weekdays
365737,Monday,4.0,Weekdays
365739,Monday,4.0,Weekdays
365744,Monday,4.0,Weekdays
366024,Monday,4.0,Weekdays
366212,Monday,4.0,Weekdays
366395,Monday,4.0,Weekdays
366447,Monday,4.0,Weekdays
366448,Monday,4.0,Weekdays
366450,Monday,4.0,Weekdays
366452,Monday,4.0,Weekdays
366453,Monday,4.0,Weekdays
366454,Monday,4.0,Weekdays
366455,Monday,4.0,Weekdays
366456,Monday,4.0,Weekdays
366458,Monday,4.0,Weekdays
366936,Monday,4.0,Weekdays
367081,Monday,4.0,Weekdays
367084,Monday,4.0,Weekdays
367085,Monday,4.0,Weekdays
367781,Monday,4.0,Weekdays
367796,Monday,4.0,Weekdays
368256,Monday,4.0,Weekdays
368267,Monday,4.0,Weekdays
368349,Monday,4.0,Weekdays
377074,Monday,4.0,Weekdays
377849,Monday,4.0,Weekdays
379451,Monday,4.0,Weekdays
382292,Monday,4.0,Weekdays
382293,Monday,4.0,Weekdays
382905,Monday,4.0,Weekdays
383263,Monday,4.0,Weekdays
383475,Monday,4.0,Weekdays
383606,Monday,4.0,Weekdays
383607,Monday,4.0,Weekdays
383608,Monday,4.0,Weekdays
383647,Monday,4.0,Weekdays
383728,Monday,4.0,Weekdays
383729,Monday,4.0,Weekdays
383730,Monday,4.0,Weekdays
383731,Monday,4.0,Weekdays
383881,Monday,4.0,Weekdays
384438,Monday,4.0,Weekdays
385283,Monday,4.0,Weekdays
385885,Monday,4.0,Weekdays
386525,Monday,4.0,Weekdays
386526,Monday,4.0,Weekdays
386527,Monday,4.0,Weekdays
386729,Monday,4.0,Weekdays
386735,Monday,4.0,Weekdays
386737,Monday,4.0,Weekdays
386747,Monday,4.0,Weekdays
386762,Monday,4.0,Weekdays
386763,Monday,4.0,Weekdays
386764,Monday,4.0,Weekdays
386832,Monday,4.0,Weekdays
386899,Monday,4.0,Weekdays
386923,Monday,4.0,Weekdays
388725,Monday,4.0,Weekdays
389039,Monday,4.0,Weekdays
389205,Monday,4.0,Weekdays
389206,Monday,4.0,Weekdays
389207,Monday,4.0,Weekdays
389255,Monday,4.0,Weekdays
389256,Monday,4.0,Weekdays
389257,Monday,4.0,Weekdays
389419,Monday,4.0,Weekdays
389424,Monday,4.0,Weekdays
389454,Monday,4.0,Weekdays
389598,Monday,4.0,Weekdays
389704,Monday,4.0,Weekdays
389770,Monday,4.0,Weekdays
389772,Monday,4.0,Weekdays
389783,Monday,4.0,Weekdays
389784,Monday,4.0,Weekdays
389988,Monday,4.0,Weekdays
392124,Monday,4.0,Weekdays
392126,Monday,4.0,Weekdays
392738,Monday,4.0,Weekdays
392746,Monday,4.0,Weekdays
392984,Monday,4.0,Weekdays
393332,Monday,4.0,Weekdays
394573,Monday,4.0,Weekdays
394574,Monday,4.0,Weekdays
394601,Monday,4.0,Weekdays
396267,Monday,4.0,Weekdays
396318,Monday,4.0,Weekdays
396323,Monday,4.0,Weekdays
396328,Monday,4.0,Weekdays
396614,Monday,4.0,Weekdays
397723,Monday,4.0,Weekdays
400209,Monday,4.0,Weekdays
409878,Monday,4.0,Weekdays
410053,Monday,4.0,Weekdays
410105,Monday,4.0,Weekdays
411992,Monday,4.0,Weekdays
411993,Monday,4.0,Weekdays
412129,Monday,4.0,Weekdays
412532,Monday,4.0,Weekdays
412885,Monday,4.0,Weekdays
413198,Monday,4.0,Weekdays
414755,Monday,4.0,Weekdays
414884,Monday,4.0,Weekdays
415127,Monday,4.0,Weekdays
415473,Monday,4.0,Weekdays
415474,Monday,4.0,Weekdays
415476,Monday,4.0,Weekdays
415477,Monday,4.0,Weekdays
415478,Monday,4.0,Weekdays
415479,Monday,4.0,Weekdays
415480,Monday,4.0,Weekdays
415483,Monday,4.0,Weekdays
415486,Monday,4.0,Weekdays
415488,Monday,4.0,Weekdays
415489,Monday,4.0,Weekdays
415490,Monday,4.0,Weekdays
415491,Monday,4.0,Weekdays
415492,Monday,4.0,Weekdays
415493,Monday,4.0,Weekdays
415525,Monday,4.0,Weekdays
415526,Monday,4.0,Weekdays
415528,Monday,4.0,Weekdays
415529,Monday,4.0,Weekdays
416088,Monday,4.0,Weekdays
416092,Monday,4.0,Weekdays
416111,Monday,4.0,Weekdays
416160,Monday,4.0,Weekdays
416166,Monday,4.0,Weekdays
416168,Monday,4.0,Weekdays
416172,Monday,4.0,Weekdays
416188,Monday,4.0,Weekdays
416192,Monday,4.0,Weekdays
416194,Monday,4.0,Weekdays
416233,Monday,4.0,Weekdays
416235,Monday,4.0,Weekdays
416244,Monday,4.0,Weekdays
416338,Monday,4.0,Weekdays
416344,Monday,4.0,Weekdays
416345,Monday,4.0,Weekdays
416690,Monday,4.0,Weekdays
416924,Monday,4.0,Weekdays
416928,Monday,4.0,Weekdays
417508,Monday,4.0,Weekdays
417510,Monday,4.0,Weekdays
417511,Monday,4.0,Weekdays
417512,Monday,4.0,Weekdays
418686,Monday,4.0,Weekdays
418691,Monday,4.0,Weekdays
419052,Monday,4.0,Weekdays
419104,Monday,4.0,Weekdays
419106,Monday,4.0,Weekdays
419107,Monday,4.0,Weekdays
419108,Monday,4.0,Weekdays
419114,Monday,4.0,Weekdays
419116,Monday,4.0,Weekdays
419117,Monday,4.0,Weekdays
419118,Monday,4.0,Weekdays
419145,Monday,4.0,Weekdays
419223,Monday,4.0,Weekdays
419418,Monday,4.0,Weekdays
419419,Monday,4.0,Weekdays
419420,Monday,4.0,Weekdays
419421,Monday,4.0,Weekdays
440905,Monday,4.0,Weekdays
441230,Monday,4.0,Weekdays
441974,Monday,4.0,Weekdays
441975,Monday,4.0,Weekdays
441980,Monday,4.0,Weekdays
442634,Monday,4.0,Weekdays
442635,Monday,4.0,Weekdays
442636,Monday,4.0,Weekdays
442777,Monday,4.0,Weekdays
444116,Monday,4.0,Weekdays
444441,Monday,4.0,Weekdays
444443,Monday,4.0,Weekdays
444444,Monday,4.0,Weekdays
444445,Monday,4.0,Weekdays
444447,Monday,4.0,Weekdays
444448,Monday,4.0,Weekdays
444449,Monday,4.0,Weekdays
444450,Monday,4.0,Weekdays
444451,Monday,4.0,Weekdays
444452,Monday,4.0,Weekdays
444453,Monday,4.0,Weekdays
444454,Monday,4.0,Weekdays
444562,Monday,4.0,Weekdays
444590,Monday,4.0,Weekdays
444592,Monday,4.0,Weekdays
444595,Monday,4.0,Weekdays
444596,Monday,4.0,Weekdays
444597,Monday,4.0,Weekdays
444601,Monday,4.0,Weekdays
444616,Monday,4.0,Weekdays
444617,Monday,4.0,Weekdays
444620,Monday,4.0,Weekdays
444763,Monday,4.0,Weekdays
444963,Monday,4.0,Weekdays
444964,Monday,4.0,Weekdays
445100,Monday,4.0,Weekdays
445105,Monday,4.0,Weekdays
445208,Monday,4.0,Weekdays
445209,Monday,4.0,Weekdays
445263,Monday,4.0,Weekdays
446046,Monday,4.0,Weekdays
446209,Monday,4.0,Weekdays
446216,Monday,4.0,Weekdays
446489,Monday,4.0,Weekdays
446584,Monday,4.0,Weekdays
344625,Friday,4.0,Weekdays
344643,Friday,4.0,Weekdays
345343,Friday,4.0,Weekdays
346725,Friday,4.0,Weekdays
346833,Friday,4.0,Weekdays
346925,Friday,4.0,Weekdays
347591,Friday,4.0,Weekdays
347592,Friday,4.0,Weekdays
347593,Friday,4.0,Weekdays
347594,Friday,4.0,Weekdays
348220,Friday,4.0,Weekdays
348221,Friday,4.0,Weekdays
348222,Friday,4.0,Weekdays
348306,Friday,4.0,Weekdays
348307,Friday,4.0,Weekdays
348321,Friday,4.0,Weekdays
348327,Friday,4.0,Weekdays
357580,Friday,4.0,Weekdays
358030,Friday,4.0,Weekdays
358095,Friday,4.0,Weekdays
358230,Friday,4.0,Weekdays
358404,Friday,4.0,Weekdays
358808,Friday,4.0,Weekdays
358809,Friday,4.0,Weekdays
358930,Friday,4.0,Weekdays
358960,Friday,4.0,Weekdays
358962,Friday,4.0,Weekdays
358963,Friday,4.0,Weekdays
359041,Friday,4.0,Weekdays
359144,Friday,4.0,Weekdays
359149,Friday,4.0,Weekdays
359150,Friday,4.0,Weekdays
359151,Friday,4.0,Weekdays
359383,Friday,4.0,Weekdays
359563,Friday,4.0,Weekdays
359564,Friday,4.0,Weekdays
359566,Friday,4.0,Weekdays
360106,Friday,4.0,Weekdays
360355,Friday,4.0,Weekdays
360588,Friday,4.0,Weekdays
360731,Friday,4.0,Weekdays
360732,Friday,4.0,Weekdays
360734,Friday,4.0,Weekdays
360737,Friday,4.0,Weekdays
361006,Friday,4.0,Weekdays
361518,Friday,4.0,Weekdays
361519,Friday,4.0,Weekdays
361793,Friday,4.0,Weekdays
361794,Friday,4.0,Weekdays
362007,Friday,4.0,Weekdays
362008,Friday,4.0,Weekdays
362512,Friday,4.0,Weekdays
362667,Friday,4.0,Weekdays
362711,Friday,4.0,Weekdays
363279,Friday,4.0,Weekdays
363406,Friday,4.0,Weekdays
365304,Friday,4.0,Weekdays
365734,Friday,4.0,Weekdays
365741,Friday,4.0,Weekdays
365746,Friday,4.0,Weekdays
366024,Friday,4.0,Weekdays
366212,Friday,4.0,Weekdays
366395,Friday,4.0,Weekdays
366447,Friday,4.0,Weekdays
366448,Friday,4.0,Weekdays
366450,Friday,4.0,Weekdays
366452,Friday,4.0,Weekdays
366453,Friday,4.0,Weekdays
366454,Friday,4.0,Weekdays
366455,Friday,4.0,Weekdays
366456,Friday,4.0,Weekdays
366458,Friday,4.0,Weekdays
366936,Friday,4.0,Weekdays
367081,Friday,4.0,Weekdays
367084,Friday,4.0,Weekdays
367085,Friday,4.0,Weekdays
367781,Friday,4.0,Weekdays
368256,Friday,4.0,Weekdays
368267,Friday,4.0,Weekdays
368349,Friday,4.0,Weekdays
377849,Friday,4.0,Weekdays
379451,Friday,4.0,Weekdays
379570,Friday,4.0,Weekdays
382292,Friday,4.0,Weekdays
382905,Friday,4.0,Weekdays
383263,Friday,4.0,Weekdays
383475,Friday,4.0,Weekdays
383606,Friday,4.0,Weekdays
383607,Friday,4.0,Weekdays
383608,Friday,4.0,Weekdays
383728,Friday,4.0,Weekdays
383729,Friday,4.0,Weekdays
383730,Friday,4.0,Weekdays
383731,Friday,4.0,Weekdays
383881,Friday,4.0,Weekdays
384438,Friday,4.0,Weekdays
385283,Friday,4.0,Weekdays
385885,Friday,4.0,Weekdays
386466,Friday,4.0,Weekdays
386525,Friday,4.0,Weekdays
386526,Friday,4.0,Weekdays
386527,Friday,4.0,Weekdays
386729,Friday,4.0,Weekdays
386735,Friday,4.0,Weekdays
386737,Friday,4.0,Weekdays
386762,Friday,4.0,Weekdays
386763,Friday,4.0,Weekdays
386764,Friday,4.0,Weekdays
386832,Friday,4.0,Weekdays
386899,Friday,4.0,Weekdays
386923,Friday,4.0,Weekdays
387298,Friday,4.0,Weekdays
387784,Friday,4.0,Weekdays
387932,Friday,4.0,Weekdays
388725,Friday,4.0,Weekdays
389039,Friday,4.0,Weekdays
389205,Friday,4.0,Weekdays
389206,Friday,4.0,Weekdays
389207,Friday,4.0,Weekdays
389255,Friday,4.0,Weekdays
389256,Friday,4.0,Weekdays
389257,Friday,4.0,Weekdays
389419,Friday,4.0,Weekdays
389424,Friday,4.0,Weekdays
389454,Friday,4.0,Weekdays
389598,Friday,4.0,Weekdays
389704,Friday,4.0,Weekdays
389770,Friday,4.0,Weekdays
389772,Friday,4.0,Weekdays
389783,Friday,4.0,Weekdays
389784,Friday,4.0,Weekdays
