ID,Daypart,Visit#Daypart
729674,5 PM - before 9 PM,2.0
730472,5 PM - before 9 PM,2.0
732361,5 PM - before 9 PM,2.0
732732,5 PM - before 9 PM,2.0
733574,5 PM - before 9 PM,2.0
734563,5 PM - before 9 PM,2.0
734740,5 PM - before 9 PM,2.0
736777,5 PM - before 9 PM,2.0
736894,5 PM - before 9 PM,2.0
741655,5 PM - before 9 PM,2.0
741729,5 PM - before 9 PM,2.0
743338,5 PM - before 9 PM,2.0
746310,5 PM - before 9 PM,2.0
746996,5 PM - before 9 PM,2.0
747544,5 PM - before 9 PM,2.0
748184,5 PM - before 9 PM,2.0
748748,5 PM - before 9 PM,2.0
748883,5 PM - before 9 PM,2.0
748944,5 PM - before 9 PM,2.0
749457,5 PM - before 9 PM,2.0
757813,5 PM - before 9 PM,2.0
758734,5 PM - before 9 PM,2.0
758753,5 PM - before 9 PM,2.0
759284,5 PM - before 9 PM,2.0
764281,5 PM - before 9 PM,2.0
764654,5 PM - before 9 PM,2.0
764663,5 PM - before 9 PM,2.0
765501,5 PM - before 9 PM,2.0
765509,5 PM - before 9 PM,2.0
767694,5 PM - before 9 PM,2.0
768521,5 PM - before 9 PM,2.0
769065,5 PM - before 9 PM,2.0
769207,5 PM - before 9 PM,2.0
769410,5 PM - before 9 PM,2.0
769476,5 PM - before 9 PM,2.0
769484,5 PM - before 9 PM,2.0
769866,5 PM - before 9 PM,2.0
777687,5 PM - before 9 PM,2.0
778119,5 PM - before 9 PM,2.0
779000,5 PM - before 9 PM,2.0
779002,5 PM - before 9 PM,2.0
780448,5 PM - before 9 PM,2.0
781296,5 PM - before 9 PM,2.0
781349,5 PM - before 9 PM,2.0
781673,5 PM - before 9 PM,2.0
783177,5 PM - before 9 PM,2.0
783382,5 PM - before 9 PM,2.0
783544,5 PM - before 9 PM,2.0
783614,5 PM - before 9 PM,2.0
784316,5 PM - before 9 PM,2.0
785671,5 PM - before 9 PM,2.0
786307,5 PM - before 9 PM,2.0
786408,5 PM - before 9 PM,2.0
786613,5 PM - before 9 PM,2.0
786922,5 PM - before 9 PM,2.0
786990,5 PM - before 9 PM,2.0
787910,5 PM - before 9 PM,2.0
788487,5 PM - before 9 PM,2.0
788645,5 PM - before 9 PM,2.0
788918,5 PM - before 9 PM,2.0
788931,5 PM - before 9 PM,2.0
789261,5 PM - before 9 PM,2.0
789380,5 PM - before 9 PM,2.0
789441,5 PM - before 9 PM,2.0
789566,5 PM - before 9 PM,2.0
789709,5 PM - before 9 PM,2.0
789742,5 PM - before 9 PM,2.0
789761,5 PM - before 9 PM,2.0
789999,5 PM - before 9 PM,2.0
790326,5 PM - before 9 PM,2.0
790347,5 PM - before 9 PM,2.0
791730,5 PM - before 9 PM,2.0
791779,5 PM - before 9 PM,2.0
792058,5 PM - before 9 PM,2.0
792060,5 PM - before 9 PM,2.0
792575,5 PM - before 9 PM,2.0
792590,5 PM - before 9 PM,2.0
792750,5 PM - before 9 PM,2.0
792768,5 PM - before 9 PM,2.0
792780,5 PM - before 9 PM,2.0
792784,5 PM - before 9 PM,2.0
792790,5 PM - before 9 PM,2.0
792912,5 PM - before 9 PM,2.0
792916,5 PM - before 9 PM,2.0
792924,5 PM - before 9 PM,2.0
792930,5 PM - before 9 PM,2.0
792955,5 PM - before 9 PM,2.0
793545,5 PM - before 9 PM,2.0
794171,5 PM - before 9 PM,2.0
794177,5 PM - before 9 PM,2.0
794179,5 PM - before 9 PM,2.0
794347,5 PM - before 9 PM,2.0
794599,5 PM - before 9 PM,2.0
794606,5 PM - before 9 PM,2.0
795105,5 PM - before 9 PM,2.0
795365,5 PM - before 9 PM,2.0
795553,5 PM - before 9 PM,2.0
795745,5 PM - before 9 PM,2.0
796181,5 PM - before 9 PM,2.0
796924,5 PM - before 9 PM,2.0
796944,5 PM - before 9 PM,2.0
797233,5 PM - before 9 PM,2.0
797467,5 PM - before 9 PM,2.0
797512,5 PM - before 9 PM,2.0
797515,5 PM - before 9 PM,2.0
798046,5 PM - before 9 PM,2.0
798117,5 PM - before 9 PM,2.0
799418,5 PM - before 9 PM,2.0
799734,5 PM - before 9 PM,2.0
799972,5 PM - before 9 PM,2.0
799979,5 PM - before 9 PM,2.0
800056,5 PM - before 9 PM,2.0
800111,5 PM - before 9 PM,2.0
800181,5 PM - before 9 PM,2.0
800216,5 PM - before 9 PM,2.0
800220,5 PM - before 9 PM,2.0
800856,5 PM - before 9 PM,2.0
800858,5 PM - before 9 PM,2.0
800890,5 PM - before 9 PM,2.0
801087,5 PM - before 9 PM,2.0
801100,5 PM - before 9 PM,2.0
801102,5 PM - before 9 PM,2.0
801571,5 PM - before 9 PM,2.0
801598,5 PM - before 9 PM,2.0
802232,5 PM - before 9 PM,2.0
802709,5 PM - before 9 PM,2.0
802800,5 PM - before 9 PM,2.0
803106,5 PM - before 9 PM,2.0
803191,5 PM - before 9 PM,2.0
803206,5 PM - before 9 PM,2.0
803504,5 PM - before 9 PM,2.0
803638,5 PM - before 9 PM,2.0
803976,5 PM - before 9 PM,2.0
805622,5 PM - before 9 PM,2.0
805639,5 PM - before 9 PM,2.0
805746,5 PM - before 9 PM,2.0
805960,5 PM - before 9 PM,2.0
805980,5 PM - before 9 PM,2.0
806143,5 PM - before 9 PM,2.0
806517,5 PM - before 9 PM,2.0
806537,5 PM - before 9 PM,2.0
807477,5 PM - before 9 PM,2.0
808131,5 PM - before 9 PM,2.0
808216,5 PM - before 9 PM,2.0
808494,5 PM - before 9 PM,2.0
808659,5 PM - before 9 PM,2.0
808665,5 PM - before 9 PM,2.0
808769,5 PM - before 9 PM,2.0
808795,5 PM - before 9 PM,2.0
809391,5 PM - before 9 PM,2.0
809884,5 PM - before 9 PM,2.0
809956,5 PM - before 9 PM,2.0
809957,5 PM - before 9 PM,2.0
810447,5 PM - before 9 PM,2.0
810614,5 PM - before 9 PM,2.0
810727,5 PM - before 9 PM,2.0
810743,5 PM - before 9 PM,2.0
811511,5 PM - before 9 PM,2.0
812057,5 PM - before 9 PM,2.0
813209,5 PM - before 9 PM,2.0
813278,5 PM - before 9 PM,2.0
813663,5 PM - before 9 PM,2.0
814121,5 PM - before 9 PM,2.0
814156,5 PM - before 9 PM,2.0
814486,5 PM - before 9 PM,2.0
814651,5 PM - before 9 PM,2.0
815191,5 PM - before 9 PM,2.0
815654,5 PM - before 9 PM,2.0
816052,5 PM - before 9 PM,2.0
816112,5 PM - before 9 PM,2.0
816157,5 PM - before 9 PM,2.0
816555,5 PM - before 9 PM,2.0
816561,5 PM - before 9 PM,2.0
816565,5 PM - before 9 PM,2.0
816970,5 PM - before 9 PM,2.0
817023,5 PM - before 9 PM,2.0
817471,5 PM - before 9 PM,2.0
817568,5 PM - before 9 PM,2.0
817815,5 PM - before 9 PM,2.0
817899,5 PM - before 9 PM,2.0
818139,5 PM - before 9 PM,2.0
818144,5 PM - before 9 PM,2.0
818208,5 PM - before 9 PM,2.0
818269,5 PM - before 9 PM,2.0
818574,5 PM - before 9 PM,2.0
819429,5 PM - before 9 PM,2.0
819555,5 PM - before 9 PM,2.0
819759,5 PM - before 9 PM,2.0
819761,5 PM - before 9 PM,2.0
819850,5 PM - before 9 PM,2.0
819914,5 PM - before 9 PM,2.0
819966,5 PM - before 9 PM,2.0
819998,5 PM - before 9 PM,2.0
820040,5 PM - before 9 PM,2.0
820047,5 PM - before 9 PM,2.0
820094,5 PM - before 9 PM,2.0
820227,5 PM - before 9 PM,2.0
821808,5 PM - before 9 PM,2.0
822603,5 PM - before 9 PM,2.0
823665,5 PM - before 9 PM,2.0
823827,5 PM - before 9 PM,2.0
824557,5 PM - before 9 PM,2.0
825188,5 PM - before 9 PM,2.0
826302,5 PM - before 9 PM,2.0
826337,5 PM - before 9 PM,2.0
826370,5 PM - before 9 PM,2.0
826414,5 PM - before 9 PM,2.0
826670,5 PM - before 9 PM,2.0
826703,5 PM - before 9 PM,2.0
826705,5 PM - before 9 PM,2.0
827586,5 PM - before 9 PM,2.0
827641,5 PM - before 9 PM,2.0
827777,5 PM - before 9 PM,2.0
828243,5 PM - before 9 PM,2.0
828258,5 PM - before 9 PM,2.0
828262,5 PM - before 9 PM,2.0
828264,5 PM - before 9 PM,2.0
828268,5 PM - before 9 PM,2.0
828495,5 PM - before 9 PM,2.0
828531,5 PM - before 9 PM,2.0
828670,5 PM - before 9 PM,2.0
830290,5 PM - before 9 PM,2.0
830522,5 PM - before 9 PM,2.0
830601,5 PM - before 9 PM,2.0
830681,5 PM - before 9 PM,2.0
97089,5 PM - before 9 PM,2.0
97091,5 PM - before 9 PM,2.0
97099,5 PM - before 9 PM,2.0
97100,5 PM - before 9 PM,2.0
97474,5 PM - before 9 PM,2.0
97484,5 PM - before 9 PM,2.0
97485,5 PM - before 9 PM,2.0
97487,5 PM - before 9 PM,2.0
97488,5 PM - before 9 PM,2.0
97493,5 PM - before 9 PM,2.0
97511,5 PM - before 9 PM,2.0
97697,5 PM - before 9 PM,2.0
98051,5 PM - before 9 PM,2.0
102139,5 PM - before 9 PM,2.0
102927,5 PM - before 9 PM,2.0
102931,5 PM - before 9 PM,2.0
102946,5 PM - before 9 PM,2.0
102989,5 PM - before 9 PM,2.0
102990,5 PM - before 9 PM,2.0
102995,5 PM - before 9 PM,2.0
102997,5 PM - before 9 PM,2.0
103023,5 PM - before 9 PM,2.0
103026,5 PM - before 9 PM,2.0
