ID,City,Group_size,Age,MPI#Mean,TOM,BUMO,BUMO_Previous,MostFavourite,Gender,Age#Group#2,MPI#2,Occupation,Occupation#group,Year
348226,0.0,3.0,29.0,5499.0,16.0,16.0,13.0,16.0,0.0,25 - 29 y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
358485,1.0,3.0,25.0,5499.0,16.0,16.0,13.0,16.0,1.0,25 - 29 y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
360729,0.0,3.0,25.0,5499.0,16.0,16.0,13.0,16.0,0.0,25 - 29 y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
360737,0.0,3.0,24.0,5499.0,16.0,16.0,13.0,16.0,1.0,20 - 24 y.o.,2.VND 4.5m - VND 8.9m,24.0,0.0,2018
361753,0.0,3.0,26.0,5499.0,16.0,16.0,13.0,16.0,1.0,25 - 29 y.o.,2.VND 4.5m - VND 8.9m,23.0,0.0,2018
363279,0.0,3.0,33.0,5499.0,16.0,16.0,12.0,16.0,1.0,30 - 34 y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
366456,0.0,3.0,33.0,5499.0,16.0,16.0,12.0,16.0,1.0,30 - 34 y.o.,2.VND 4.5m - VND 8.9m,23.0,0.0,2018
367085,0.0,3.0,34.0,5499.0,16.0,16.0,12.0,16.0,1.0,30 - 34 y.o.,2.VND 4.5m - VND 8.9m,24.0,0.0,2018
367455,0.0,3.0,28.0,5499.0,16.0,16.0,13.0,16.0,0.0,25 - 29 y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
370956,3.0,3.0,29.0,5499.0,16.0,16.0,13.0,16.0,1.0,25 - 29 y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
375849,5.0,3.0,28.0,5499.0,16.0,16.0,13.0,16.0,0.0,25 - 29 y.o.,2.VND 4.5m - VND 8.9m,24.0,0.0,2018
376082,0.0,3.0,37.0,5499.0,16.0,16.0,12.0,16.0,0.0,35 - 39 y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
377074,0.0,3.0,29.0,5499.0,16.0,16.0,13.0,16.0,1.0,25 - 29 y.o.,2.VND 4.5m - VND 8.9m,24.0,0.0,2018
383881,0.0,3.0,35.0,5499.0,16.0,16.0,12.0,16.0,0.0,35 - 39 y.o.,2.VND 4.5m - VND 8.9m,23.0,0.0,2018
389419,0.0,3.0,36.0,5499.0,16.0,16.0,12.0,16.0,1.0,35 - 39 y.o.,2.VND 4.5m - VND 8.9m,24.0,0.0,2018
390352,3.0,3.0,32.0,5499.0,16.0,16.0,12.0,16.0,1.0,30 - 34 y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
391988,2.0,3.0,45.0,5499.0,16.0,16.0,11.0,16.0,0.0,45+ y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
394547,2.0,3.0,48.0,5499.0,16.0,16.0,11.0,16.0,0.0,45+ y.o.,2.VND 4.5m - VND 8.9m,24.0,0.0,2018
395040,1.0,3.0,32.0,5499.0,16.0,16.0,12.0,16.0,0.0,30 - 34 y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
399751,1.0,3.0,34.0,5499.0,16.0,16.0,12.0,16.0,0.0,30 - 34 y.o.,2.VND 4.5m - VND 8.9m,24.0,0.0,2018
411800,1.0,3.0,26.0,5499.0,16.0,16.0,13.0,16.0,0.0,25 - 29 y.o.,2.VND 4.5m - VND 8.9m,23.0,0.0,2018
413830,2.0,3.0,25.0,5499.0,16.0,16.0,13.0,16.0,1.0,25 - 29 y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
415025,4.0,3.0,33.0,5499.0,16.0,16.0,12.0,16.0,0.0,30 - 34 y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
415529,0.0,3.0,55.0,5499.0,16.0,16.0,10.0,16.0,1.0,45+ y.o.,2.VND 4.5m - VND 8.9m,24.0,0.0,2018
419145,0.0,3.0,32.0,5499.0,16.0,16.0,12.0,16.0,1.0,30 - 34 y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
419358,2.0,3.0,43.0,5499.0,16.0,16.0,11.0,16.0,1.0,40 - 44 y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
421467,5.0,3.0,50.0,5499.0,16.0,16.0,10.0,16.0,1.0,45+ y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
423075,4.0,3.0,53.0,5499.0,16.0,16.0,10.0,16.0,1.0,45+ y.o.,2.VND 4.5m - VND 8.9m,24.0,0.0,2018
430294,2.0,3.0,32.0,5499.0,16.0,16.0,12.0,16.0,0.0,30 - 34 y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
430348,2.0,3.0,60.0,5499.0,16.0,16.0,9.0,16.0,0.0,45+ y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
433262,2.0,3.0,24.0,5499.0,16.0,16.0,13.0,16.0,0.0,20 - 24 y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
434856,2.0,3.0,39.0,5499.0,16.0,16.0,11.0,16.0,1.0,35 - 39 y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
435053,2.0,3.0,46.0,5499.0,16.0,16.0,11.0,16.0,1.0,45+ y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
439304,4.0,3.0,54.0,5499.0,16.0,16.0,10.0,16.0,0.0,45+ y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
439569,0.0,3.0,33.0,5499.0,16.0,16.0,12.0,16.0,0.0,30 - 34 y.o.,2.VND 4.5m - VND 8.9m,24.0,0.0,2018
442479,4.0,3.0,21.0,5499.0,16.0,16.0,13.0,16.0,0.0,20 - 24 y.o.,2.VND 4.5m - VND 8.9m,23.0,0.0,2018
443620,2.0,3.0,28.0,5499.0,16.0,16.0,13.0,16.0,0.0,25 - 29 y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
443726,1.0,3.0,43.0,5499.0,16.0,16.0,11.0,16.0,0.0,40 - 44 y.o.,2.VND 4.5m - VND 8.9m,23.0,0.0,2018
443998,1.0,3.0,49.0,5499.0,16.0,16.0,10.0,16.0,1.0,45+ y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
444080,1.0,3.0,38.0,5499.0,16.0,16.0,12.0,16.0,0.0,35 - 39 y.o.,2.VND 4.5m - VND 8.9m,24.0,0.0,2018
444604,0.0,3.0,23.0,5499.0,16.0,16.0,13.0,16.0,1.0,20 - 24 y.o.,2.VND 4.5m - VND 8.9m,24.0,0.0,2018
445293,0.0,3.0,48.0,5499.0,16.0,16.0,11.0,16.0,0.0,45+ y.o.,2.VND 4.5m - VND 8.9m,23.0,0.0,2018
445297,2.0,3.0,34.0,5499.0,16.0,16.0,12.0,16.0,0.0,30 - 34 y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
446009,5.0,3.0,30.0,5499.0,16.0,16.0,12.0,16.0,0.0,30 - 34 y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
446046,0.0,3.0,30.0,5499.0,16.0,16.0,12.0,16.0,1.0,30 - 34 y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
446092,1.0,3.0,51.0,5499.0,16.0,16.0,10.0,16.0,1.0,45+ y.o.,2.VND 4.5m - VND 8.9m,24.0,0.0,2018
446195,1.0,3.0,58.0,5499.0,16.0,16.0,9.0,16.0,0.0,45+ y.o.,2.VND 4.5m - VND 8.9m,24.0,0.0,2018
448666,1.0,3.0,23.0,5499.0,16.0,16.0,13.0,16.0,0.0,20 - 24 y.o.,2.VND 4.5m - VND 8.9m,24.0,0.0,2018
448732,1.0,3.0,52.0,5499.0,16.0,16.0,10.0,16.0,1.0,45+ y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
449279,1.0,3.0,50.0,5499.0,16.0,16.0,10.0,16.0,1.0,45+ y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
449428,1.0,3.0,53.0,5499.0,16.0,16.0,10.0,16.0,0.0,45+ y.o.,2.VND 4.5m - VND 8.9m,23.0,0.0,2018
450819,2.0,3.0,32.0,5499.0,16.0,16.0,12.0,16.0,1.0,30 - 34 y.o.,2.VND 4.5m - VND 8.9m,24.0,0.0,2018
450832,2.0,3.0,32.0,5499.0,16.0,16.0,12.0,16.0,0.0,30 - 34 y.o.,2.VND 4.5m - VND 8.9m,27.0,0.0,2018
452516,1.0,3.0,55.0,5499.0,16.0,16.0,10.0,16.0,1.0,45+ y.o.,2.VND 4.5m - VND 8.9m,24.0,0.0,2018
454969,1.0,3.0,37.0,5499.0,16.0,16.0,12.0,16.0,1.0,35 - 39 y.o.,2.VND 4.5m - VND 8.9m,23.0,0.0,2018
455083,1.0,3.0,33.0,5499.0,16.0,16.0,12.0,16.0,0.0,30 - 34 y.o.,2.VND 4.5m - VND 8.9m,23.0,0.0,2018
455319,1.0,3.0,38.0,5499.0,16.0,16.0,12.0,16.0,0.0,35 - 39 y.o.,2.VND 4.5m - VND 8.9m,23.0,0.0,2018
